t,x
0,7.72265e-18
0.005,0.0132505
0.01,0.0314108
0.015,0.0489141
0.02,0.0627905
0.025,0.0780138
0.03,0.0941083
0.035,0.110789
0.04,0.125333
0.045,0.140937
0.05,0.156434
0.055,0.172745
0.06,0.187381
0.065,0.203062
0.07,0.218143
0.075,0.234155
0.08,0.24869
0.085,0.264298
0.09,0.278991
0.095,0.294703
0.1,0.309017
0.105,0.324445
0.11,0.338738
0.115,0.354124
0.12,0.368125
0.125,0.383281
0.13,0.397148
0.135,0.412173
0.14,0.425779
0.145,0.440583
0.15,0.45399
0.155,0.468614
0.16,0.481754
0.165,0.496184
0.17,0.509041
0.175,0.523263
0.18,0.535827
0.185,0.549826
0.19,0.562083
0.195,0.575847
0.2,0.587785
0.205,0.601299
0.21,0.612907
0.215,0.626157
0.22,0.637424
0.225,0.650398
0.23,0.661312
0.235,0.673997
0.24,0.684547
0.245,0.696931
0.25,0.707107
0.255,0.719177
0.26,0.728969
0.265,0.740713
0.27,0.750111
0.275,0.761519
0.28,0.770513
0.285,0.781572
0.29,0.790155
0.295,0.800855
0.3,0.809017
0.305,0.819347
0.31,0.827081
0.315,0.83703
0.32,0.844328
0.325,0.853888
0.33,0.860742
0.335,0.869902
0.34,0.876307
0.345,0.885059
0.35,0.891007
0.355,0.899341
0.36,0.904827
0.365,0.912737
0.37,0.917755
0.375,0.925231
0.38,0.929776
0.385,0.936813
0.39,0.940881
0.395,0.94747
0.4,0.951057
0.405,0.957191
0.41,0.960294
0.415,0.965969
0.42,0.968583
0.425,0.973793
0.43,0.975917
0.435,0.980656
0.44,0.982287
0.445,0.986551
0.45,0.987688
0.455,0.991472
0.46,0.992115
0.465,0.995415
0.47,0.995562
0.475,0.998376
0.48,0.998027
0.485,1.00035
0.49,0.999507
0.495,1.00134
0.5,1
0.505,1.00134
0.51,0.999507
0.515,1.00035
0.52,0.998027
0.525,0.998376
0.53,0.995562
0.535,0.995415
0.54,0.992115
0.545,0.991472
0.55,0.987688
0.555,0.986551
0.56,0.982287
0.565,0.980656
0.57,0.975917
0.575,0.973793
0.58,0.968583
0.585,0.965969
0.59,0.960294
0.595,0.957191
0.6,0.951057
0.605,0.94747
0.61,0.940881
0.615,0.936813
0.62,0.929776
0.625,0.925231
0.63,0.917755
0.635,0.912737
0.64,0.904827
0.645,0.899341
0.65,0.891007
0.655,0.885059
0.66,0.876307
0.665,0.869902
0.67,0.860742
0.675,0.853888
0.68,0.844328
0.685,0.83703
0.69,0.827081
0.695,0.819347
0.7,0.809017
0.705,0.800855
0.71,0.790155
0.715,0.781572
0.72,0.770513
0.725,0.761519
0.73,0.750111
0.735,0.740713
0.74,0.728969
0.745,0.719177
0.75,0.707107
0.755,0.696931
0.76,0.684547
0.765,0.673997
0.77,0.661312
0.775,0.650398
0.78,0.637424
0.785,0.626157
0.79,0.612907
0.795,0.601299
0.8,0.587785
0.805,0.575847
0.81,0.562083
0.815,0.549826
0.82,0.535827
0.825,0.523263
0.83,0.509041
0.835,0.496184
0.84,0.481754
0.845,0.468614
0.85,0.45399
0.855,0.440583
0.86,0.425779
0.865,0.412116
0.87,0.397148
0.875,0.383243
0.88,0.368125
0.885,0.353992
0.89,0.338738
0.895,0.324391
0.9,0.309017
0.905,0.294471
0.91,0.278991
0.915,0.264259
0.92,0.24869
0.925,0.233787
0.93,0.218143
0.935,0.203084
0.94,0.187381
0.945,0.172181
0.95,0.156434
0.955,0.141107
0.96,0.125333
0.965,0.109895
0.97,0.0941083
0.975,0.0785739
0.98,0.0627905
0.985,0.0471754
0.99,0.0314108
0.995,0.0157303
1,1.22465e-16
1.005,-0.0157303
1.01,-0.0314108
1.015,-0.0471754
1.02,-0.0627905
1.025,-0.0785739
1.03,-0.0941083
1.035,-0.109895
1.04,-0.125333
1.045,-0.141107
1.05,-0.156434
1.055,-0.172181
1.06,-0.187381
1.065,-0.203084
1.07,-0.218143
1.075,-0.233787
1.08,-0.24869
1.085,-0.264259
1.09,-0.278991
1.095,-0.294471
1.1,-0.309017
1.105,-0.324391
1.11,-0.338738
1.115,-0.353992
1.12,-0.368125
1.125,-0.383243
1.13,-0.397148
1.135,-0.412116
1.14,-0.425779
1.145,-0.440583
1.15,-0.45399
1.155,-0.468614
1.16,-0.481754
1.165,-0.496184
1.17,-0.509041
1.175,-0.523263
1.18,-0.535827
1.185,-0.549826
1.19,-0.562083
1.195,-0.575847
1.2,-0.587785
1.205,-0.601299
1.21,-0.612907
1.215,-0.626157
1.22,-0.637424
1.225,-0.650398
