t,q_int,q_restored
0,0,0
0.005,434,0.0132446
0.01,1029,0.0314026
0.015,1603,0.0489197
0.02,2058,0.0628052
0.025,2557,0.0780334
0.03,3084,0.0941162
0.035,3630,0.110779
0.04,4107,0.125336
0.045,4618,0.14093
0.05,5126,0.156433
0.055,5660,0.172729
0.06,6140,0.187378
0.065,6653,0.203033
0.07,7148,0.21814
0.075,7672,0.234131
0.08,8149,0.248688
0.085,8660,0.264282
0.09,9142,0.278992
0.095,9656,0.294678
0.1,10126,0.309021
0.105,10631,0.324432
0.11,11100,0.338745
0.115,11604,0.354126
0.12,12063,0.368134
0.125,12559,0.38327
0.13,13014,0.397156
0.135,13506,0.41217
0.14,13952,0.425781
0.145,14436,0.440552
0.15,14876,0.453979
0.155,15355,0.468597
0.16,15786,0.48175
0.165,16258,0.496155
0.17,16680,0.509033
0.175,17145,0.523224
0.18,17558,0.535828
0.185,18016,0.549805
0.19,18418,0.562073
0.195,18868,0.575806
0.2,19261,0.587799
0.205,19703,0.601288
0.21,20084,0.612915
0.215,20517,0.626129
0.22,20887,0.637421
0.225,21311,0.65036
0.23,21670,0.661316
0.235,22084,0.67395
0.24,22431,0.68454
0.245,22835,0.696869
0.25,23170,0.707092
0.255,23564,0.719116
0.26,23887,0.728973
0.265,24271,0.740692
0.27,24580,0.750122
0.275,24952,0.761475
0.28,25248,0.770508
0.285,25609,0.781525
0.29,25892,0.790161
0.295,26241,0.800812
0.3,26510,0.809021
0.305,26847,0.819305
0.31,27102,0.827087
0.315,27426,0.836975
0.32,27667,0.84433
0.325,27979,0.853851
0.33,28205,0.860748
0.335,28504,0.869873
0.34,28715,0.876312
0.345,29001,0.88504
0.35,29197,0.891022
0.355,29468,0.899292
0.36,29649,0.904816
0.365,29907,0.912689
0.37,30073,0.917755
0.375,30317,0.925201
0.38,30467,0.929779
0.385,30696,0.936768
0.39,30831,0.940887
0.395,31045,0.947418
0.4,31164,0.95105
0.405,31363,0.957123
0.41,31467,0.960297
0.415,31652,0.965942
0.42,31739,0.968597
0.425,31908,0.973755
0.43,31979,0.975922
0.435,32133,0.980621
0.44,32188,0.9823
0.445,32326,0.986511
0.45,32365,0.987701
0.455,32487,0.991425
0.46,32510,0.992126
0.465,32617,0.995392
0.47,32623,0.995575
0.475,32713,0.998322
0.48,32703,0.998016
0.485,32767,0.999969
0.49,32752,0.999512
0.495,32767,0.999969
0.5,32767,0.999969
0.505,32767,0.999969
0.51,32752,0.999512
0.515,32767,0.999969
0.52,32703,0.998016
0.525,32713,0.998322
0.53,32623,0.995575
0.535,32617,0.995392
0.54,32510,0.992126
0.545,32487,0.991425
0.55,32365,0.987701
0.555,32326,0.986511
0.56,32188,0.9823
0.565,32133,0.980621
0.57,31979,0.975922
0.575,31908,0.973755
0.58,31739,0.968597
0.585,31652,0.965942
0.59,31467,0.960297
0.595,31363,0.957123
0.6,31164,0.95105
0.605,31045,0.947418
0.61,30831,0.940887
0.615,30696,0.936768
0.62,30467,0.929779
0.625,30317,0.925201
0.63,30073,0.917755
0.635,29907,0.912689
0.64,29649,0.904816
0.645,29468,0.899292
0.65,29197,0.891022
0.655,29001,0.88504
0.66,28715,0.876312
0.665,28504,0.869873
0.67,28205,0.860748
0.675,27979,0.853851
0.68,27667,0.84433
0.685,27426,0.836975
0.69,27102,0.827087
0.695,26847,0.819305
0.7,26510,0.809021
0.705,26241,0.800812
0.71,25892,0.790161
0.715,25609,0.781525
0.72,25248,0.770508
0.725,24952,0.761475
0.73,24580,0.750122
0.735,24271,0.740692
0.74,23887,0.728973
0.745,23564,0.719116
0.75,23170,0.707092
0.755,22835,0.696869
0.76,22431,0.68454
0.765,22084,0.67395
0.77,21670,0.661316
0.775,21311,0.65036
0.78,20887,0.637421
0.785,20517,0.626129
0.79,20084,0.612915
0.795,19703,0.601288
0.8,19261,0.587799
0.805,18868,0.575806
0.81,18418,0.562073
0.815,18016,0.549805
0.82,17558,0.535828
0.825,17145,0.523224
0.83,16680,0.509033
0.835,16258,0.496155
